City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,kaiapoi,-43.3783,172.6401,73.74,38,74,20.71,NZ,1699828239
169,thompson,55.7435,-97.8558,30.36,93,100,2.3,CA,1699827867
170,sur,22.5667,59.5289,77.56,56,100,1.61,OM,1699827921
171,kruisfontein,-34.0033,24.7314,53.28,85,2,8.41,ZA,1699827903
172,sitka,57.0531,-135.33,44.49,70,0,4.61,US,1699827635
173,fada,9.5667,8.3,72.16,55,30,2.39,NG,1699828240
174,noumea,-22.2763,166.4572,76.98,66,96,24.72,NC,1699828240
175,nizhniy kuranakh,58.8353,125.4869,8.62,95,100,6.22,RU,1699827935
176,tadine,-21.55,167.8833,73.6,61,98,20.22,NC,1699828040
177,thief river falls,48.1191,-96.1812,48.13,61,0,18.41,US,1699828240
178,wailua homesteads,22.0669,-159.378,82.83,78,75,18.41,US,1699827896
179,crane,31.3974,-102.3501,59.95,66,100,9.26,US,1699827942
180,forster,-32.1667,152.5167,70.38,73,100,11.7,AU,1699828241
181,lycksele,64.5954,18.6735,19.27,93,75,10.36,SE,1699828241
182,huarmey,-10.0681,-78.1522,71.17,77,75,10.58,PE,1699828164
183,newman,37.3138,-121.0208,76.28,23,78,6.2,US,1699827717
184,general mosconi,-23.1851,-62.303,102.13,25,39,11.3,AR,1699828241
185,georgetown,5.4112,100.3354,81.01,94,20,2.3,MY,1699827705
186,bandipura,34.4167,74.65,43.03,50,4,6.22,IN,1699828241
187,tamanrasset,22.785,5.5228,64.31,15,0,9.22,DZ,1699828241
188,bikenibeu village,1.3673,173.1241,82.36,83,100,3.44,KI,1699827913
189,laguna,38.421,-121.4238,76.17,32,0,10.36,US,1699827710
190,namibe,-15.1961,12.1522,71.74,78,87,3.74,AO,1699827652
191,hazard,37.2495,-83.1932,65.89,52,0,4.45,US,1699827679
192,anatuya,-28.4606,-62.8347,73.29,58,97,17.76,AR,1699828242
193,siwa oasis,29.2041,25.5195,71.28,45,0,4.52,EG,1699828242
194,carnarvon,-24.8667,113.6333,68.59,85,16,5.7,AU,1699827898
195,tabas,33.5959,56.9244,61.99,32,77,1.36,IR,1699828242
196,port alfred,-33.5906,26.891,58.17,89,16,1.99,ZA,1699827933
197,ola,59.5833,151.2833,11.41,65,100,14.52,RU,1699827897
198,thunder bay,48.4001,-89.3168,42.78,81,75,5.75,CA,1699828242
199,szydlowiec,51.2282,20.8611,42.4,76,99,10.92,PL,1699828243
200,fale old settlement,-9.3852,-171.2468,83.77,72,59,1.57,TK,1699827895
201,toledo,39.8333,-4.0,59.11,88,97,5.99,ES,1699828124
202,talcahuano,-36.7167,-73.1167,56.88,54,0,17.27,CL,1699827899
203,aripuana,-9.1667,-60.6333,82.99,62,68,2.35,BR,1699828244
204,sodra sandby,56.5667,16.6167,41.9,92,99,7.36,SE,1699828244
205,parthenay,46.6667,-0.4167,58.95,92,100,15.52,FR,1699828245
206,arraial do cabo,-22.9661,-42.0278,80.46,78,0,1.14,BR,1699827896
207,oodweyne,9.4092,45.064,75.07,61,73,6.06,SO,1699828246
208,micco,27.8806,-80.5003,76.01,87,92,5.99,US,1699828246
209,saudarkrokur,65.7461,-19.6394,31.82,56,100,5.01,IS,1699828246
210,kyren,51.6828,102.1408,14.95,74,39,1.99,RU,1699828246
211,klyuchi,52.2667,79.1667,40.59,87,99,9.62,RU,1699828247
212,plouguerneau,48.6,-4.5,59.38,100,100,27.63,FR,1699828248
213,qamdo,31.1667,97.2333,14.65,51,1,3.65,CN,1699828248
214,lago da pedra,-4.3333,-45.1667,86.54,44,25,8.21,BR,1699828248
215,al ain city,24.1917,55.7606,74.82,20,0,6.91,AE,1699828248
216,kavaratti,10.5669,72.642,81.75,76,80,5.82,IN,1699827639
217,juneau,58.3019,-134.4197,42.8,90,20,4.61,US,1699828113
218,minot air force base,48.4209,-101.3391,53.78,46,0,20.71,US,1699828248
219,greenville,35.6127,-77.3663,53.76,92,100,4.61,US,1699827861
220,tura,25.5198,90.2201,63.91,86,0,4.32,IN,1699827922
221,sanming,26.2486,117.6186,57.36,92,97,2.89,CN,1699828249
222,znamenskoye,57.1281,73.8282,32.97,99,100,3.74,RU,1699828249
223,kurumkan,54.3,110.3,16.12,84,66,1.01,RU,1699828249
224,palora,-1.7,-77.9333,75.31,96,89,1.88,EC,1699828249
225,gallup,35.5281,-108.7426,60.64,17,0,11.5,US,1699828249
226,itamaraca,-7.7478,-34.8256,80.65,69,0,8.43,BR,1699828147
227,figuig (centre),32.1089,-1.2286,65.01,27,99,1.99,MA,1699828249
228,fang,19.9169,99.2145,69.37,97,99,0.2,TH,1699828249
229,amos,48.5669,-78.1162,23.05,94,89,5.46,CA,1699828250
230,bulgan,48.8125,103.5347,8.67,77,86,3.38,MN,1699828250
231,kupang,-10.1667,123.5833,81.18,89,20,5.75,ID,1699828250
232,fort bragg,35.139,-79.006,59.14,57,0,5.75,US,1699827727
233,kone,-21.0595,164.8658,77.86,46,16,6.29,NC,1699827899
234,chom thong,18.4174,98.6743,75.45,95,91,1.19,TH,1699828178
235,ocean city,39.2776,-74.5746,45.99,72,19,5.99,US,1699828250
236,tofol,5.3248,163.0078,82.18,78,100,6.91,FM,1699828250
237,flin flon,54.7682,-101.865,33.64,93,100,5.75,CA,1699828250
238,ribeira grande,38.5167,-28.7,64.78,87,100,7.0,PT,1699827898
239,dikhil,11.5,42.1667,74.35,75,7,8.77,DJ,1699828250
240,kailua-kona,19.6406,-155.9956,83.28,75,40,10.36,US,1699827914
241,bandarbeyla,9.4942,50.8122,80.33,83,41,15.17,SO,1699827929
242,north platte,41.1239,-100.7654,66.09,21,0,3.44,US,1699828250
243,remire-montjoly,4.9167,-52.2667,81.07,83,72,11.3,GF,1699827634
244,arawa,-6.2132,155.5367,85.21,66,52,4.38,PG,1699828251
245,horovice,49.836,13.9027,38.55,100,99,4.23,CZ,1699828251
246,syriam,16.7722,96.2378,78.91,94,75,4.61,MM,1699828251
247,mejit,10.2753,170.8646,82.4,81,87,18.05,MH,1699827931
248,toliara,-23.35,43.6667,75.69,75,0,1.34,MG,1699828251
249,portland,45.5234,-122.6762,60.62,76,75,13.8,US,1699827702
250,upington,-28.4478,21.2561,70.18,18,1,3.44,ZA,1699828251
251,pathein,16.7833,94.7333,76.57,91,100,4.32,MM,1699828251
252,harper,4.375,-7.7169,78.85,88,33,7.87,LR,1699827900
253,mili,6.0815,171.735,84.0,81,100,17.72,MH,1699828251
254,sisimiut,66.9395,-53.6735,17.2,83,93,8.5,GL,1699827914
255,sao paulo de olivenca,-3.3783,-68.8725,76.19,95,74,2.48,BR,1699828251
256,huilong,31.8111,121.655,43.54,68,87,18.75,CN,1699827660
257,sam phran,13.727,100.2153,80.58,93,89,5.73,TH,1699828252
258,myitkyina,25.3833,97.4,61.84,75,0,2.53,MM,1699828003
259,geraldton,-28.7667,114.6,63.01,88,0,8.05,AU,1699827917
260,sabha,27.0377,14.4283,68.02,37,0,7.16,LY,1699828252
261,yunyang,33.4474,112.7142,41.76,64,100,1.16,CN,1699828252
262,ambanja,-13.6833,48.45,81.16,75,0,3.4,MG,1699828252
263,horsham,51.064,-0.3272,53.02,87,100,2.3,GB,1699828039
264,hirara,24.8,125.2833,71.46,78,75,26.46,JP,1699828252
